Date,Max temp,Min temp,Rain,Province
2023/1/1,27.4,15.1,0.0,เกษตร เชียงราย
2023/1/2,27.0,12.0,0.0,เกษตร เชียงราย
2023/1/3,27.0,11.3,0.0,เกษตร เชียงราย
2023/1/4,28.4,16.1,0.0,เกษตร เชียงราย
2023/1/5,28.9,13.4,0.0,เกษตร เชียงราย
2023/1/6,25.9,12.6,0.0,เกษตร เชียงราย
2023/1/7,25.6,9.3,0.0,เกษตร เชียงราย
2023/1/8,27.3,9.2,0.0,เกษตร เชียงราย
2023/1/9,28.5,10.6,0.0,เกษตร เชียงราย
2023/1/10,29.4,12.6,0.0,เกษตร เชียงราย
2023/1/11,30.1,13.1,0.0,เกษตร เชียงราย
2023/1/12,31.2,14.5,0.0,เกษตร เชียงราย
2023/1/13,31.4,11.7,0.0,เกษตร เชียงราย
2023/1/14,31.0,10.5,0.0,เกษตร เชียงราย
2023/1/15,29.4,10.5,0.0,เกษตร เชียงราย
2023/1/16,28.5,8.6,0.0,เกษตร เชียงราย
2023/1/17,28.6,10.1,0.0,เกษตร เชียงราย
2023/1/18,29.6,14.1,0.0,เกษตร เชียงราย
2023/1/19,29.7,14.0,0.0,เกษตร เชียงราย
2023/1/20,29.9,13.2,0.0,เกษตร เชียงราย
2023/1/21,30.5,12.4,0.0,เกษตร เชียงราย
2023/1/22,31.3,12.6,0.0,เกษตร เชียงราย
2023/1/23,30.5,11.6,0.0,เกษตร เชียงราย
2023/1/24,30.1,10.7,0.0,เกษตร เชียงราย
2023/1/25,28.1,14.4,0.0,เกษตร เชียงราย
2023/1/26,30.1,12.3,0.0,เกษตร เชียงราย
2023/1/27,30.5,13.3,0.0,เกษตร เชียงราย
2023/1/28,27.1,14.7,0.0,เกษตร เชียงราย
2023/1/29,26.4,15.5,0.0,เกษตร เชียงราย
2023/1/30,27.1,11.6,0.0,เกษตร เชียงราย
2023/1/31,30.0,10.4,0.0,เกษตร เชียงราย
2023/2/1,31.3,13.1,0.0,เกษตร เชียงราย
2023/2/2,32.6,14.9,0.0,เกษตร เชียงราย
2023/2/3,33.2,15.6,0.0,เกษตร เชียงราย
2023/2/4,33.6,18.2,0.0,เกษตร เชียงราย
2023/2/5,33.7,18.2,0.0,เกษตร เชียงราย
2023/2/6,34.4,16.4,0.0,เกษตร เชียงราย
2023/2/7,34.1,12.5,0.0,เกษตร เชียงราย
2023/2/8,32.5,12.2,0.0,เกษตร เชียงราย
2023/2/9,31.9,11.3,0.0,เกษตร เชียงราย
2023/2/10,34.0,10.6,0.0,เกษตร เชียงราย
2023/2/11,33.5,10.3,0.0,เกษตร เชียงราย
2023/2/12,33.1,11.1,0.0,เกษตร เชียงราย
2023/2/13,33.2,11.4,0.0,เกษตร เชียงราย
2023/2/14,32.5,11.7,0.0,เกษตร เชียงราย
2023/2/15,32.4,12.9,3.6,เกษตร เชียงราย
2023/2/16,30.4,17.0,1.0,เกษตร เชียงราย
2023/2/17,22.2,18.3,T,เกษตร เชียงราย
2023/2/18,29.4,15.6,0.0,เกษตร เชียงราย
2023/2/19,31.7,14.0,0.0,เกษตร เชียงราย
2023/2/20,33.5,14.4,0.0,เกษตร เชียงราย
2023/2/21,30.8,17.7,0.0,เกษตร เชียงราย
2023/2/22,33.5,16.8,0.0,เกษตร เชียงราย
2023/2/23,32.7,16.8,0.0,เกษตร เชียงราย
2023/2/24,33.4,15.9,0.0,เกษตร เชียงราย
2023/2/25,30.6,15.1,0.0,เกษตร เชียงราย
2023/2/26,26.7,20.5,0.0,เกษตร เชียงราย
2023/2/27,28.8,15.0,0.0,เกษตร เชียงราย
2023/2/28,30.6,13.8,0.0,เกษตร เชียงราย
2023/3/1,32.7,15.1,0.0,เกษตร เชียงราย
2023/3/2,33.0,15.4,0.0,เกษตร เชียงราย
2023/3/3,32.2,15.7,0.0,เกษตร เชียงราย
2023/3/4,31.7,16.6,0.0,เกษตร เชียงราย
2023/3/5,31.0,16.9,0.0,เกษตร เชียงราย
2023/3/6,32.6,16.5,0.0,เกษตร เชียงราย
2023/3/7,33.7,16.6,0.0,เกษตร เชียงราย
2023/3/8,34.2,17.8,0.0,เกษตร เชียงราย
2023/3/9,34.0,18.1,0.0,เกษตร เชียงราย
2023/3/10,34.0,19.0,0.0,เกษตร เชียงราย
2023/3/11,34.3,19.0,0.0,เกษตร เชียงราย
2023/3/12,32.5,19.5,4.8,เกษตร เชียงราย
2023/3/13,25.7,19.5,2.0,เกษตร เชียงราย
2023/3/14,31.2,18.9,2.4,เกษตร เชียงราย
2023/3/15,32.9,16.4,0.0,เกษตร เชียงราย
2023/3/16,30.1,18.0,0.0,เกษตร เชียงราย
2023/3/17,34.0,17.8,0.0,เกษตร เชียงราย
2023/3/18,34.7,18.8,6.7,เกษตร เชียงราย
2023/3/19,34.5,19.5,0.0,เกษตร เชียงราย
2023/3/20,34.7,21.2,14.9,เกษตร เชียงราย
2023/3/21,34.0,19.5,0.0,เกษตร เชียงราย
