Date,Water volume in dams (by %),Name of dam
2023-01-01,110.86,Kiew Kor Ma Dam
2023-01-01,86.79,Khwae Noi Bamrung Dan Dam
2023-01-01,88.24,Mae Kuang Udom Thara Dam
2023-01-01,94.81,Mae Kuang Udom Thara Dam
2023-01-01,103.52,Mae Ngat Somboon Chon Dam
2023-01-01,84.73,Mae Mok Dam
2023-01-01,66.7,Sirikit Dam
2023-01-01,96.77,Kiew Lom Dam
2023-01-02,110.71,Kiew Kor Ma Dam
2023-01-02,86.58,Khwae Noi Bamrung Dan Dam
2023-01-02,88.04,Bhumibol Dam
2023-01-02,94.72,Mae Kuang Udom Thara Dam
2023-01-02,103.48,Mae Ngat Somboon Chon Dam
2023-01-02,84.6,Mae Mok Dam
2023-01-02,66.54,Sirikit Dam
2023-01-02,95.74,Kiew Lom Dam
2023-01-03,110.54,Kiew Kor Ma Dam
2023-01-03,86.37,Khwae Noi Bamrung Dan Dam
2023-01-03,87.84,Bhumibol Dam
2023-01-03,94.62,Mae Kuang Udom Thara Dam
2023-01-03,103.36,Mae Ngat Somboon Chon Dam
2023-01-03,84.47,Mae Mok Dam
2023-01-03,66.39,Sirikit Dam
2023-01-03,94.71,Kiew Lom Dam
2023-01-04,110.31,Kiew Kor Ma Dam
2023-01-04,86.26,Khwae Noi Bamrung Dan Dam
2023-01-04,87.6,Bhumibol Dam
2023-01-04,94.52,Mae Kuang Udom Thara Dam
2023-01-04,103.25,Mae Ngat Somboon Chon Dam
2023-01-04,84.35,Mae Mok Dam
2023-01-04,66.24,Sirikit Dam
2023-01-04,93.61,Kiew Lom Dam
2023-01-05,110.22,Kiew Kor Ma Dam
2023-01-05,85.94,Khwae Noi Bamrung Dan Dam
2023-01-05,87.4,Bhumibol Dam
2023-01-05,94.27,Mae Kuang Udom Thara Dam
2023-01-05,103.13,Mae Ngat Somboon Chon Dam
2023-01-05,84.22,Mae Mok Dam
2023-01-05,66.12,Sirikit Dam
2023-01-05,92.66,Kiew Lom Dam
2023-01-06,109.91,Kiew Kor Ma Dam
2023-01-06,85.62,Khwae Noi Bamrung Dan Dam
2023-01-06,87.19,Bhumibol Dam
2023-01-06,93.97,Mae Kuang Udom Thara Dam
2023-01-06,103.01,Mae Ngat Somboon Chon Dam
2023-01-06,84.09,Mae Mok Dam
2023-01-06,66,Sirikit Dam
2023-01-06,91.77,Kiew Lom Dam
2023-01-07,109.74,Kiew Kor Ma Dam
2023-01-07,85.3,Khwae Noi Bamrung Dan Dam
2023-01-07,86.96,Bhumibol Dam
2023-01-07,93.66,Mae Kuang Udom Thara Dam
2023-01-07,102.51,Mae Ngat Somboon Chon Dam
2023-01-07,83.33,Mae Mok Dam
2023-01-07,65.86,Sirikit Dam
2023-01-07,90.9,Kiew Lom Dam
2023-01-08,109.51,Kiew Kor Ma Dam
2023-01-08,84.88,Khwae Noi Bamrung Dan Dam
2023-01-08,86.75,Bhumibol Dam
2023-01-08,93.37,Mae Kuang Udom Thara Dam
2023-01-08,102,Mae Ngat Somboon Chon Dam
2023-01-08,82.44,Mae Mok Dam
2023-01-08,65.7,Sirikit Dam
2023-01-08,90.01,Kiew Lom Dam
2023-01-09,109.42,Kiew Kor Ma Dam
2023-01-09,84.56,Khwae Noi Bamrung Dan Dam
2023-01-09,86.53,Bhumibol Dam
2023-01-09,93.06,Mae Kuang Udom Thara Dam
2023-01-09,101.85,Mae Ngat Somboon Chon Dam
2023-01-09,81.55,Mae Mok Dam
2023-01-09,65.54,Sirikit Dam
2023-01-09,89.28,Kiew Lom Dam
2023-01-10,109.26,Kiew Kor Ma Dam
2023-01-10,84.24,Khwae Noi Bamrung Dan Dam
2023-01-10,86.27,Bhumibol Dam
2023-01-10,92.67,Mae Kuang Udom Thara Dam
2023-01-10,101.73,Mae Ngat Somboon Chon Dam
2023-01-10,80.53,Mae Mok Dam
2023-01-10,65.38,Sirikit Dam
2023-01-10,88.54,Kiew Lom Dam
2023-01-11,109.11,Kiew Kor Ma Dam
2023-01-11,84.03,Khwae Noi Bamrung Dan Dam
2023-01-11,86.07,Bhumibol Dam
2023-01-11,92.26,Mae Kuang Udom Thara Dam
2023-01-11,101.6,Mae Ngat Somboon Chon Dam
2023-01-11,79.51,Mae Mok Dam
2023-01-11,65.23,Sirikit Dam
2023-01-11,88.09,Kiew Lom Dam
2023-01-12,108.95,Kiew Kor Ma Dam
2023-01-12,83.81,Khwae Noi Bamrung Dan Dam
2023-01-12,85.86,Bhumibol Dam
2023-01-12,92.02,Mae Kuang Udom Thara Dam
2023-01-12,101.47,Mae Ngat Somboon Chon Dam
2023-01-12,78.11,Mae Mok Dam
2023-01-12,65.08,Sirikit Dam
2023-01-12,87.67,Kiew Lom Dam
2023-01-13,108.95,Kiew Kor Ma Dam
2023-01-13,83.49,Khwae Noi Bamrung Dan Dam
2023-01-13,85.62,Bhumibol Dam
2023-01-13,91.76,Mae Kuang Udom Thara Dam
2023-01-13,101.34,Mae Ngat Somboon Chon Dam
2023-01-13,76.71,Mae Mok Dam
2023-01-13,64.92,Sirikit Dam
2023-01-13,87.36,Kiew Lom Dam
2023-01-14,108.62,Kiew Kor Ma Dam
2023-01-14,83.17,Khwae Noi Bamrung Dan Dam
2023-01-14,85.4,Bhumibol Dam
2023-01-14,91.5,Mae Kuang Udom Thara Dam
2023-01-14,100.83,Mae Ngat Somboon Chon Dam
2023-01-14,75.31,Mae Mok Dam
2023-01-14,64.76,Sirikit Dam
2023-01-14,86.93,Kiew Lom Dam
2023-01-15,108.46,Kiew Kor Ma Dam
2023-01-15,82.85,Khwae Noi Bamrung Dan Dam
2023-01-15,85.2,Bhumibol Dam
2023-01-15,91.24,Mae Kuang Udom Thara Dam
2023-01-15,100.31,Mae Ngat Somboon Chon Dam
2023-01-15,74.29,Mae Mok Dam
2023-01-15,64.61,Sirikit Dam
2023-01-15,86.49,Kiew Lom Dam
2023-01-16,108.31,Kiew Kor Ma Dam
2023-01-16,82.53,Khwae Noi Bamrung Dan Dam
2023-01-16,84.97,Bhumibol Dam
2023-01-16,91.02,Mae Kuang Udom Thara Dam
2023-01-16,100.16,Mae Ngat Somboon Chon Dam
2023-01-16,72.89,Mae Mok Dam
2023-01-16,64.46,Sirikit Dam
2023-01-16,86.2,Kiew Lom Dam
2023-01-17,107.91,Kiew Kor Ma Dam
2023-01-17,82.11,Khwae Noi Bamrung Dan Dam
2023-01-17,84.77,Bhumibol Dam
2023-01-17,90.74,Mae Kuang Udom Thara Dam
2023-01-17,100.05,Mae Ngat Somboon Chon Dam
2023-01-17,71.49,Mae Mok Dam
2023-01-17,64.3,Sirikit Dam
2023-01-17,85.76,Kiew Lom Dam
2023-01-18,107.82,Kiew Kor Ma Dam
2023-01-18,81.47,Khwae Noi Bamrung Dan Dam
2023-01-18,84.56,Bhumibol Dam
2023-01-18,90.49,Mae Kuang Udom Thara Dam
2023-01-18,99.94,Mae Ngat Somboon Chon Dam
2023-01-18,70.09,Mae Mok Dam
2023-01-18,64.14,Sirikit Dam
2023-01-18,85.19,Kiew Lom Dam
2023-01-19,107.82,Kiew Kor Ma Dam
2023-01-19,80.72,Khwae Noi Bamrung Dan Dam
2023-01-19,84.34,Bhumibol Dam
2023-01-19,90.26,Mae Kuang Udom Thara Dam
2023-01-19,99.82,Mae Ngat Somboon Chon Dam
2023-01-19,68.69,Mae Mok Dam
2023-01-19,64,Sirikit Dam
2023-01-19,84.67,Kiew Lom Dam
2023-01-20,107.66,Kiew Kor Ma Dam
2023-01-20,79.87,Khwae Noi Bamrung Dan Dam
2023-01-20,84.15,Bhumibol Dam
2023-01-20,90.03,Mae Kuang Udom Thara Dam
2023-01-20,99.7,Mae Ngat Somboon Chon Dam
2023-01-20,67.29,Mae Mok Dam
2023-01-20,63.84,Sirikit Dam
2023-01-20,84.02,Kiew Lom Dam
2023-01-21,107.58,Kiew Kor Ma Dam
2023-01-21,78.91,Khwae Noi Bamrung Dan Dam
2023-01-21,83.95,Bhumibol Dam
2023-01-21,89.77,Mae Kuang Udom Thara Dam
2023-01-21,99.19,Mae Ngat Somboon Chon Dam
2023-01-21,66.78,Mae Mok Dam
2023-01-21,63.68,Sirikit Dam
2023-01-21,82.99,Kiew Lom Dam
2023-01-22,107.51,Kiew Kor Ma Dam
2023-01-22,78.06,Khwae Noi Bamrung Dan Dam
2023-01-22,83.74,Bhumibol Dam
2023-01-22,89.37,Mae Kuang Udom Thara Dam
2023-01-22,98.65,Mae Ngat Somboon Chon Dam
2023-01-22,66.27,Mae Mok Dam
2023-01-22,63.53,Sirikit Dam
2023-01-22,82.08,Kiew Lom Dam
2023-01-23,107.42,Kiew Kor Ma Dam
2023-01-23,77.42,Khwae Noi Bamrung Dan Dam
2023-01-23,83.63,Bhumibol Dam
2023-01-23,88.97,Mae Kuang Udom Thara Dam
2023-01-23,98.51,Mae Ngat Somboon Chon Dam
2023-01-23,65.76,Mae Mok Dam
2023-01-23,63.38,Sirikit Dam
2023-01-23,80.93,Kiew Lom Dam
2023-01-24,107.19,Kiew Kor Ma Dam
2023-01-24,77,Khwae Noi Bamrung Dan Dam
2023-01-24,83.35,Bhumibol Dam
2023-01-24,88.69,Mae Kuang Udom Thara Dam
2023-01-24,98.38,Mae Ngat Somboon Chon Dam
2023-01-24,65.25,Mae Mok Dam
2023-01-24,63.23,Sirikit Dam
2023-01-24,79.79,Kiew Lom Dam
2023-01-25,107.02,Kiew Kor Ma Dam
2023-01-25,76.57,Khwae Noi Bamrung Dan Dam
2023-01-25,83.09,Bhumibol Dam
2023-01-25,88.4,Mae Kuang Udom Thara Dam
2023-01-25,98.24,Mae Ngat Somboon Chon Dam
2023-01-25,64.75,Mae Mok Dam
2023-01-25,63.07,Sirikit Dam
2023-01-25,78.72,Kiew Lom Dam
2023-01-26,106.71,Kiew Kor Ma Dam
2023-01-26,76.14,Khwae Noi Bamrung Dan Dam
2023-01-26,82.84,Bhumibol Dam
2023-01-26,88.12,Mae Kuang Udom Thara Dam
2023-01-26,98.09,Mae Ngat Somboon Chon Dam
2023-01-26,64.24,Mae Mok Dam
2023-01-26,62.92,Sirikit Dam
2023-01-26,77.95,Kiew Lom Dam
2023-01-27,106.55,Kiew Kor Ma Dam
2023-01-27,75.72,Khwae Noi Bamrung Dan Dam
2023-01-27,82.6,Bhumibol Dam
2023-01-27,87.83,Mae Kuang Udom Thara Dam
2023-01-27,97.74,Mae Ngat Somboon Chon Dam
2023-01-27,63.73,Mae Mok Dam
2023-01-27,62.77,Sirikit Dam
2023-01-27,77.05,Kiew Lom Dam
2023-01-28,106.39,Kiew Kor Ma Dam
2023-01-28,75.19,Khwae Noi Bamrung Dan Dam
2023-01-28,82.35,Bhumibol Dam
2023-01-28,87.6,Mae Kuang Udom Thara Dam
2023-01-28,97.2,Mae Ngat Somboon Chon Dam
2023-01-28,63.22,Mae Mok Dam
2023-01-28,62.6,Sirikit Dam
2023-01-28,76.14,Kiew Lom Dam
2023-01-29,105.92,Kiew Kor Ma Dam
2023-01-29,74.65,Khwae Noi Bamrung Dan Dam
2023-01-29,82.13,Bhumibol Dam
2023-01-29,87.32,Mae Kuang Udom Thara Dam
2023-01-29,96.67,Mae Ngat Somboon Chon Dam
2023-01-29,62.71,Mae Mok Dam
2023-01-29,62.42,Sirikit Dam
2023-01-29,75.36,Kiew Lom Dam
2023-01-30,105.54,Kiew Kor Ma Dam
2023-01-30,74.01,Khwae Noi Bamrung Dan Dam
2023-01-30,81.9,Bhumibol Dam
2023-01-30,87.04,Mae Kuang Udom Thara Dam
2023-01-30,96.35,Mae Ngat Somboon Chon Dam
2023-01-30,62.2,Mae Mok Dam
2023-01-30,62.27,Sirikit Dam
2023-01-30,74.85,Kiew Lom Dam
2023-01-31,105.46,Kiew Kor Ma Dam
2023-01-31,73.59,Khwae Noi Bamrung Dan Dam
2023-01-31,81.65,Bhumibol Dam
2023-01-31,86.76,Mae Kuang Udom Thara Dam
2023-01-31,96.21,Mae Ngat Somboon Chon Dam
2023-01-31,61.7,Mae Mok Dam
2023-01-31,62.09,Sirikit Dam
2023-01-31,74.46,Kiew Lom Dam
2023-02-01,105.15,Kiew Kor Ma Dam
2023-02-01,73.06,Khwae Noi Bamrung Dan Dam
2023-02-01,81.41,Bhumibol Dam
2023-02-01,86.48,Mae Kuang Udom Thara Dam
2023-02-01,96.06,Mae Ngat Somboon Chon Dam
2023-02-01,60.99,Mae Mok Dam
2023-02-01,61.95,Sirikit Dam
2023-02-01,74.07,Kiew Lom Dam
2023-02-02,104.31,Kiew Kor Ma Dam
2023-02-02,72.63,Khwae Noi Bamrung Dan Dam
2023-02-02,81.21,Bhumibol Dam
2023-02-02,86.16,Mae Kuang Udom Thara Dam
2023-02-02,95.92,Mae Ngat Somboon Chon Dam
2023-02-02,60.16,Mae Mok Dam
2023-02-02,61.77,Sirikit Dam
2023-02-02,73.94,Kiew Lom Dam
