Date,Water volume in dams (by %),Name of dam
2021-01-01,40.63,Bhumibol Dam
2021-01-01,55.94,Sirikit Dam
2021-01-01,53.4,Mae Ngat Somboon Chon Dam
2021-01-01,41.99,Mae Kuang Udom Thara Dam
2021-01-01,64.42,Kiew Lom Dam
2021-01-01,44.64,Kiew Kor Ma Dam
2021-01-01,43.35,Khwae Noi Bamrung Dan Dam
2021-01-01,38.73,Mae Mok Dam
2021-01-02,40.59,Bhumibol Dam
2021-01-02,55.79,Sirikit Dam
2021-01-02,53.35,Mae Ngat Somboon Chon Dam
2021-01-02,41.72,Mae Kuang Udom Thara Dam
2021-01-02,64.52,Kiew Lom Dam
2021-01-02,44.4,Kiew Kor Ma Dam
2021-01-02,43.08,Khwae Noi Bamrung Dan Dam
2021-01-02,38.65,Mae Mok Dam
2021-01-03,40.54,Bhumibol Dam
2021-01-03,55.67,Sirikit Dam
2021-01-03,53.34,Mae Ngat Somboon Chon Dam
2021-01-03,41.51,Mae Kuang Udom Thara Dam
2021-01-03,64.52,Kiew Lom Dam
2021-01-03,44.25,Kiew Kor Ma Dam
2021-01-03,42.87,Khwae Noi Bamrung Dan Dam
2021-01-03,38.65,Mae Mok Dam
2021-01-04,40.48,Bhumibol Dam
2021-01-04,55.51,Sirikit Dam
2021-01-04,53.32,Mae Ngat Somboon Chon Dam
2021-01-04,41.39,Mae Kuang Udom Thara Dam
2021-01-04,64.63,Kiew Lom Dam
2021-01-04,44.16,Kiew Kor Ma Dam
2021-01-04,42.78,Khwae Noi Bamrung Dan Dam
2021-01-04,38.65,Mae Mok Dam
2021-01-05,40.42,Bhumibol Dam
2021-01-05,55.34,Sirikit Dam
2021-01-05,53.26,Mae Ngat Somboon Chon Dam
2021-01-05,41.25,Mae Kuang Udom Thara Dam
2021-01-05,64.63,Kiew Lom Dam
2021-01-05,44.16,Kiew Kor Ma Dam
2021-01-05,42.7,Khwae Noi Bamrung Dan Dam
2021-01-05,38.51,Mae Mok Dam
2021-01-06,40.34,Bhumibol Dam
2021-01-06,55.18,Sirikit Dam
2021-01-06,53.16,Mae Ngat Somboon Chon Dam
2021-01-06,41.07,Mae Kuang Udom Thara Dam
2021-01-06,64.52,Kiew Lom Dam
2021-01-06,44.16,Kiew Kor Ma Dam
2021-01-06,42.7,Khwae Noi Bamrung Dan Dam
2021-01-06,38.51,Mae Mok Dam
2021-01-07,40.25,Bhumibol Dam
2021-01-07,55.02,Sirikit Dam
2021-01-07,53.05,Mae Ngat Somboon Chon Dam
2021-01-07,40.9,Mae Kuang Udom Thara Dam
2021-01-07,64.52,Kiew Lom Dam
2021-01-07,44.16,Kiew Kor Ma Dam
2021-01-07,42.7,Khwae Noi Bamrung Dan Dam
2021-01-07,38.51,Mae Mok Dam
2021-01-08,40.19,Bhumibol Dam
2021-01-08,54.86,Sirikit Dam
2021-01-08,52.73,Mae Ngat Somboon Chon Dam
2021-01-08,40.62,Mae Kuang Udom Thara Dam
2021-01-08,64.4,Kiew Lom Dam
2021-01-08,44.11,Kiew Kor Ma Dam
2021-01-08,42.61,Khwae Noi Bamrung Dan Dam
2021-01-08,38.44,Mae Mok Dam
2021-01-09,40.16,Bhumibol Dam
2021-01-09,54.71,Sirikit Dam
2021-01-09,52.45,Mae Ngat Somboon Chon Dam
2021-01-09,40.47,Mae Kuang Udom Thara Dam
2021-01-09,64.23,Kiew Lom Dam
2021-01-09,43.92,Kiew Kor Ma Dam
2021-01-09,42.47,Khwae Noi Bamrung Dan Dam
2021-01-09,38.44,Mae Mok Dam
2021-01-10,40.1,Bhumibol Dam
2021-01-10,54.6,Sirikit Dam
2021-01-10,52.43,Mae Ngat Somboon Chon Dam
2021-01-10,40.24,Mae Kuang Udom Thara Dam
2021-01-10,64.01,Kiew Lom Dam
2021-01-10,43.82,Kiew Kor Ma Dam
2021-01-10,42.32,Khwae Noi Bamrung Dan Dam
2021-01-10,38.44,Mae Mok Dam
2021-01-11,40.05,Bhumibol Dam
2021-01-11,54.47,Sirikit Dam
2021-01-11,52.42,Mae Ngat Somboon Chon Dam
2021-01-11,40.03,Mae Kuang Udom Thara Dam
2021-01-11,63.74,Kiew Lom Dam
2021-01-11,43.72,Kiew Kor Ma Dam
2021-01-11,42.24,Khwae Noi Bamrung Dan Dam
2021-01-11,38.36,Mae Mok Dam
2021-01-12,40,Bhumibol Dam
2021-01-12,54.33,Sirikit Dam
2021-01-12,52.31,Mae Ngat Somboon Chon Dam
2021-01-12,39.86,Mae Kuang Udom Thara Dam
2021-01-12,63.64,Kiew Lom Dam
2021-01-12,43.58,Kiew Kor Ma Dam
2021-01-12,42.12,Khwae Noi Bamrung Dan Dam
2021-01-12,38.36,Mae Mok Dam
2021-01-13,39.96,Bhumibol Dam
2021-01-13,54.15,Sirikit Dam
2021-01-13,52.2,Mae Ngat Somboon Chon Dam
2021-01-13,39.56,Mae Kuang Udom Thara Dam
2021-01-13,63.38,Kiew Lom Dam
2021-01-13,43.44,Kiew Kor Ma Dam
