Date,Average of Water heights in meter,Station,Name of river,Subdistrict,District,Province
2022-01-01,2.822608696,Ban Chiang Dao,แม่น้ำปิง,เชียงดาว,เชียงดาว,เชียงใหม่
2022-01-01,3.235652174,Ban Chor Lae,แม่น้ำปิง,ช่อแล,แม่แตง,เชียงใหม่
2022-01-01,4.014782609,Ban Don Chai,แม่น้ำวัง,ล้อมแรด,เถิน,ลำปาง
2022-01-01,8.068369565,Ban Don Mun,แม่น้ำวัง,บ้านแลง,เมือง,ลำปาง
2022-01-01,3.78,Ban Don Sali,น้ำแม่ลาว,ป่าแดด,แม่สรวย,เชียงราย
2022-01-01,5.12,Ban Hai,แม่น้ำวัง,ปงดอน,แจ้ห่ม,ลำปาง
2022-01-01,2.753478261,Ban Hua Sapan,น้ำแม่จัน,ป่าซาง,แม่จัน,เชียงราย
2022-01-01,5.1,Ban Huai Pa Sang,น้ำแม่แตง,กึ๊ดช้าง,แม่แตง,เชียงใหม่
2022-01-01,9.74,Ban Huai Sak,แม่น้ำยม,เตาปูน,สอง,แพร่
2022-01-01,6.145652174,Ban Klang,น้ำแม่ขาน,บ้านกลาง,สันป่าตอง,เชียงใหม่
2022-01-01,3.24,Ban Ko Kha,แม่น้ำวัง,ศาลา,เกาะคา,ลำปาง
2022-01-01,4.52,Ban Krariang Tung Phrao,น้ำแม่สรวย,วาวี,แม่สรวย,เชียงราย
2022-01-01,-3.08,Ban Lai Kaeo,น้ำแม่ลี้,ศรีเตี้ย,บ้านโฮ่ง,ลำพูน
2022-01-01,3.91,Ban Luang Nuea,น้ำงาว,หลวงใต้,งาว,ลำปาง
2022-01-01,6.726666667,Ban Mae E Hi,น้ำแม่ลี้,ศรีวิชัย,ลี้,ลำพูน
2022-01-01,4.9,Ban Mae Kha Bridge,น้ำฝาง,แม่ข่า,ฝาง,เชียงใหม่
2022-01-01,5.27,Ban Mae Khom Mi Tamnak Tham,น้ำแม่คำมี,ตำหนักธรรม,หนองม่วงไข่,แพร่
2022-01-01,5.9425,Ban Mae Lai,น้ำแม่หล่าย,แม่หล่าย,เมือง,แพร่
2022-01-01,1.735217391,Ban Mae Tae,แม่น้ำปิง,แม่แฝกเก่า,สันทราย,เชียงใหม่
2022-01-01,5.2,Ban Mai Rim Fang,น้ำฝาง,เวียงฝาง,ฝาง,เชียงใหม่
2022-01-01,7.54,Ban Mang,น้ำปี้,มาง,เชียงม่วน,พะเยา
2022-01-01,4.387391304,Ban Mueang Kuet,น้ำแม่แตง,กึ๊ดช้าง,แม่แตง,เชียงใหม่
2022-01-01,2.46,Ban Mueang Mai,ห้วยแม่ต๋า,เมืองมาย,แจ้ห่ม,ลำปาง
