Date,Water volume in dams (by %),Name of dam
2022-01-01,59.26,Bhumibol Dam
2022-01-01,46.08,Sirikit Dam
2022-01-01,43.14,Mae Ngat Somboon Chon Dam
2022-01-01,32.59,Mae Kuang Udom Thara Dam
2022-01-01,91.17,Kiew Lom Dam
2022-01-01,82.67,Kiew Kor Ma Dam
2022-01-01,91.48,Khwae Noi Bamrung Dan Dam
2022-01-01,90.91,Mae Mok Dam
2022-01-02,59.07,Bhumibol Dam
2022-01-02,46.01,Sirikit Dam
2022-01-02,43.09,Mae Ngat Somboon Chon Dam
2022-01-02,32.63,Mae Kuang Udom Thara Dam
2022-01-02,90.19,Kiew Lom Dam
2022-01-02,82.67,Kiew Kor Ma Dam
2022-01-02,91.11,Khwae Noi Bamrung Dan Dam
2022-01-02,90.07,Mae Mok Dam
2022-01-03,58.91,Bhumibol Dam
2022-01-03,45.96,Sirikit Dam
2022-01-03,43,Mae Ngat Somboon Chon Dam
2022-01-03,32.67,Mae Kuang Udom Thara Dam
2022-01-03,89.14,Kiew Lom Dam
2022-01-03,82.61,Kiew Kor Ma Dam
2022-01-03,90.84,Khwae Noi Bamrung Dan Dam
2022-01-03,90,Mae Mok Dam
2022-01-04,58.77,Bhumibol Dam
2022-01-04,45.91,Sirikit Dam
2022-01-04,42.88,Mae Ngat Somboon Chon Dam
2022-01-04,32.71,Mae Kuang Udom Thara Dam
2022-01-04,88.11,Kiew Lom Dam
2022-01-04,82.55,Kiew Kor Ma Dam
2022-01-04,90.52,Khwae Noi Bamrung Dan Dam
2022-01-04,89.09,Mae Mok Dam
2022-01-05,58.62,Bhumibol Dam
2022-01-05,45.84,Sirikit Dam
2022-01-05,42.77,Mae Ngat Somboon Chon Dam
2022-01-05,32.75,Mae Kuang Udom Thara Dam
2022-01-05,87.22,Kiew Lom Dam
2022-01-05,82.49,Kiew Kor Ma Dam
2022-01-05,90.2,Khwae Noi Bamrung Dan Dam
2022-01-05,88.18,Mae Mok Dam
2022-01-06,58.45,Bhumibol Dam
2022-01-06,45.78,Sirikit Dam
2022-01-06,42.65,Mae Ngat Somboon Chon Dam
