province,district,subdistrict,moo,Situation_Date,End Disaster Date,,,
จังหวัด,อำเภอ,ตำบล,หมู่ที่,วันที่เกิดสถานการณ์,วันที่ประกาศยุติสถานการณ์,,,
กระบี่,เกาะลันตา,เกาะกลาง,1,1-ส.ค.-65,1-ส.ค.-65,,,
กระบี่,เกาะลันตา,เกาะกลาง,2,1-ส.ค.-65,1-ส.ค.-65,,,
กระบี่,เกาะลันตา,เกาะกลาง,3,1-ส.ค.-65,1-ส.ค.-65,,,
กระบี่,เกาะลันตา,เกาะกลาง,4,1-ส.ค.-65,1-ส.ค.-65,,,
กระบี่,เกาะลันตา,เกาะกลาง,5,1-ส.ค.-65,1-ส.ค.-65,,,
กระบี่,เกาะลันตา,เกาะกลาง,6,1-ส.ค.-65,1-ส.ค.-65,,,
กระบี่,เกาะลันตา,เกาะกลาง,7,1-ส.ค.-65,1-ส.ค.-65,,,
กระบี่,เกาะลันตา,เกาะกลาง,8,1-ส.ค.-65,1-ส.ค.-65,,,
กระบี่,เกาะลันตา,เกาะกลาง,9,1-ส.ค.-65,1-ส.ค.-65,,,
กระบี่,เกาะลันตา,เกาะกลาง,10,1-ส.ค.-65,1-ส.ค.-65,,,
กระบี่,เกาะลันตา,เกาะลันตาน้อย,2,1-ส.ค.-65,1-ส.ค.-65,,,
กระบี่,เกาะลันตา,เกาะลันตาใหญ่,2,1-ส.ค.-65,1-ส.ค.-65,,,
กระบี่,เกาะลันตา,เกาะลันตาใหญ่,3,1-ส.ค.-65,1-ส.ค.-65,,,
กระบี่,เกาะลันตา,เกาะลันตาใหญ่,5,1-ส.ค.-65,1-ส.ค.-65,,,
กระบี่,เกาะลันตา,เกาะลันตาใหญ่,6,1-ส.ค.-65,1-ส.ค.-65,,,
กระบี่,เกาะลันตา,เกาะลันตาใหญ่,8,1-ส.ค.-65,1-ส.ค.-65,,,
กระบี่,เกาะลันตา,เกาะลันตาใหญ่,3,18-ต.ค.-65,19-ต.ค.-65,,,
กระบี่,เกาะลันตา,เกาะลันตาใหญ่,5,18-ต.ค.-65,19-ต.ค.-65,,,
กระบี่,เกาะลันตา,เกาะลันตาใหญ่,6,18-ต.ค.-65,19-ต.ค.-65,,,
กระบี่,เกาะลันตา,เกาะลันตาใหญ่,8,18-ต.ค.-65,19-ต.ค.-65,,,
กระบี่,เกาะลันตา,คลองยาง,1,1-ส.ค.-65,1-ส.ค.-65,,,
กระบี่,เกาะลันตา,คลองยาง,2,1-ส.ค.-65,1-ส.ค.-65,,,
กระบี่,เกาะลันตา,คลองยาง,3,1-ส.ค.-65,1-ส.ค.-65,,,
กระบี่,เกาะลันตา,คลองยาง,4,1-ส.ค.-65,1-ส.ค.-65,,,
กระบี่,เกาะลันตา,คลองยาง,5,1-ส.ค.-65,1-ส.ค.-65,,,
กระบี่,เกาะลันตา,คลองยาง,6,1-ส.ค.-65,1-ส.ค.-65,,,
กระบี่,เกาะลันตา,คลองยาง,7,1-ส.ค.-65,1-ส.ค.-65,,,
กระบี่,เกาะลันตา,ศาลาด่าน,2,1-ส.ค.-65,1-ส.ค.-65,,,
กระบี่,เกาะลันตา,ศาลาด่าน,3,1-ก.ย.-65,,,,
กระบี่,เกาะลันตา,ศาลาด่าน,5,1-ก.ย.-65,,,,
กระบี่,เกาะลันตา,ศาลาด่าน,2,18-ต.ค.-65,19-ต.ค.-65,,,
กระบี่,เกาะลันตา,ศาลาด่าน,3,18-ต.ค.-65,19-ต.ค.-65,,,
กระบี่,เกาะลันตา,ศาลาด่าน,4,18-ต.ค.-65,19-ต.ค.-65,,,
กระบี่,เกาะลันตา,ศาลาด่าน,5,18-ต.ค.-65,19-ต.ค.-65,,,
กระบี่,เขาพนม,เขาดิน,1,1-ก.ย.-65,15-ก.ย.-65,,,
กระบี่,เขาพนม,เขาดิน,3,1-ก.ย.-65,15-ก.ย.-65,,,
กระบี่,เขาพนม,เขาดิน,4,1-ก.ย.-65,15-ก.ย.-65,,,
กระบี่,เขาพนม,เขาดิน,5,1-ก.ย.-65,15-ก.ย.-65,,,
กระบี่,เขาพนม,เขาดิน,7,1-ก.ย.-65,,,,
กระบี่,เขาพนม,เขาดิน,7,1-ก.ย.-65,15-ก.ย.-65,,,
กระบี่,เขาพนม,เขาดิน,1,17-ต.ค.-65,22-ต.ค.-65,,,
กระบี่,เขาพนม,เขาดิน,2,17-ต.ค.-65,22-ต.ค.-65,,,
กระบี่,เขาพนม,เขาดิน,6,17-ต.ค.-65,22-ต.ค.-65,,,
กระบี่,เขาพนม,เขาดิน,7,17-ต.ค.-65,22-ต.ค.-65,,,
กระบี่,เขาพนม,เขาดิน,8,17-ต.ค.-65,22-ต.ค.-65,,,
กระบี่,เขาพนม,เขาดิน,9,17-ต.ค.-65,22-ต.ค.-65,,,
กระบี่,เขาพนม,เขาพนม,1,17-ต.ค.-65,22-ก.ย.-65,,,
